Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
1949,She Wore a Yellow Ribbon,,,,,,,,,,,,,,,,,,,,,,,,,,,She Wore a Yellow Ribbon - 1948-10-16 - Shooting script.pdf,7526,tt0041866,,
1949,The Third Man,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/jpxh25l44yke4np/AAAPTEZGOIBNJa5WHGGYrsOZa/THIRD%20MAN%2C%20THE%20%281949%29%20Graham%20Greene.pdf?dl=0,6003,tt0041959,8,
1950,Sunset Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html,3466,tt0043014,,
1950,All About Eve,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=all_about_eve,,,,
1950,The Jackie Robinson Story,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=jackie_robinson_story_1950,,,,
1950,Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=harvey,,,,
1951,The Day The Earth Stood Still,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Day-the-Earth-Stood-Still,-The.html",849,tt0043456,,
1951,Detective Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,The Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,Julius Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,Julius Caesar - 1952-07-07 - Draft.pdf,8307,tt0045943,,
1953,Stalag 17,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Stalag%2017.txt,5022,tt0046359,,
1953,The War of the Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/WARWORLDS.txt,5197,tt0046534,,
1954,On the Waterfront,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/onthewaterfront.html,4745,tt0047296,185,
1954,Rear Window,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Rear Window Script.html,3182,tt0047396,30,
1954,Salt of the Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/salt.txt,4906,tt0047443,,
1954,Seven Samurai,,,,,,,,,,,,,,,,,,,,,,,,,,,Seven Samurai (Akira Kurosawa & Shinobu Hashimoto & Hideo Oguni) (Translated by Donald Richie).pdf,8431,tt0047478,,
1954,White Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/White-Christmas.html,1466,tt0047673,,
1955,Bad Day at Black Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Bad Day at Black Rock Script.html,1740,tt0047849,,
1955,Rebel Without a Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=rebel_without_a_cause,,,,
1956,The Man Who Knew Too Much,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Man Who Knew Too Much, The Script.html",2838,tt0049470,,
1956,The Searchers,,Bathtub,1,,,,,,,,Jeffrey Hunter,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Searchers, The Script.html",3289,tt0049730,,
1957,An Affair to Remember,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/an_affair_to_remember.pdf,3807,tt0050105,,
1957,The Bachelor Party,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=bachelor_party,,,,
1957,The Seventh Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Seventh-Seal,-The.html",1309,tt0050976,,
1957,Sweet Smell of Success,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Sweet-Smell-of-Success.html,1387,tt0051036,,
1957,Witness for the Prosecution,,,,,,,,,,,,,,,,,,,,,,,,,,,Witness for the Prosecution (1957.06.10).pdf,6701,tt0051201,,
1958,Touch of Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/jpxh25l44yke4np/AABv8zPog9rCXAWrYZrOGSria/TOUCH%20OF%20EVIL%20%281958%29%20Orson%20Welles%20%5B1957-02-05%5D.pdf?dl=0,6006,tt0052311,38,
1958,Vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/vertigo.html,3659,tt0052357,29,
1959,Anatomy of a Murder,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2013/08/anatomy-of-a-murder-feb25-59-final-numbered.pdf,8699,tt0052561,,
1959,The Atomic Submarine,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=atomicsub,,,,
1959,North by Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,NorthByNorthwest.pdf,7080,tt0053125,,
1959,Some Like It Hot,C,Bathtub,1,,,,,,,,Tony Curtis,,,,,,,,,,,,,,,Curtis is in drag,http://www.aellea.com/script/somelikeithot_script.txt,4990,tt0053291,426,Famous scene. Gender swap. I think Marilyn was already the most famous tub maven at this point so it's a wink. 
1960,The Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Apartment, The Script.html",1673,tt0053604,,
1960,BUtterfield 8,C,,,Shower,1,,,,,,,,Elizabeth Taylor,,,,,,,,,,,,,,,,,,
1960,The Time Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=time_machine_1960,,,,
1960,L'Avventura,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",701,tt0053619,,
1960,Peeping Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Peeping-Tom.html,1221,tt0054167,,
1960,Psycho,C,,,Shower,1,,,,,,,,Janet Leigh,,,,,,,,,,,,,Janet Leigh is murdered in the shower,film_20100519/all_imsdb_05_19_10/Psycho.html,1251,tt0054215,545,
1961,The Hustler,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.dailyscript.com/scripts/Hustler,+The.txt",4390,tt0054997,,
1961,Viridiana,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/viridiana.txt,5189,tt0055601,,
1962,Ride the High Country,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=ride_the_high_country_1962,,,,
1962,Sweet Bird of Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,The Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Birds, The Script.html",1826,tt0056869,,
1963,Charade,,Bathtub,1,Shower,1,,,,,,George Kennedy,,,,,Walter Matthau,,,,,,,,,,,https://sfy.ru/?script=charade,,,,
1964,Nothing But a Man,,,,Shower,1,,,,,,,,,,,Ed Rowan,,,,,,,,,,,http://www.aellea.com/emruf3/nbam.html,4721,tt0058414,,
1964,Mary Poppins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,The Pumpkin Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,The Cincinnati Kid,,Bathtub,1,,,,,,,,Steve McQueen,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Cincinnati-Kid,-The.html",805,tt0059037,,
1965,Orgy of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Orgy-of-the-Dead.html,1208,tt0054240,,
1966,The Battle of Algiers,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Battle of Algiers, The Script.html",1780,tt0058946,6,
1966,Fantastic Voyage,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/fantasticvoyager.txt,4198,tt0060397,,
1966,El Dorado,,,,,,,,,,,,,,,,,,,,,,,,,,,El Dorado.pdf,7075,tt0061619,47,
1966,Harper,,,,,,,,,,,,,,,,,,,,,,,,,,,Harper (1966) [1965-6-9] [Rev. Final] [Scan].pdf,7607,tt0060490,,
1967,Bonnie and Clyde,,Bathtub,1,,,,,,,,Michael J. Pollard,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Bonnie and Clyde Script.html,1882,tt0061418,,
1967,Cool Hand Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/cool_hand_luke.html,4041,tt0061512,,
1967,The Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Graduate, The Script.html",2432,tt0061722,,
1968,2001: A Space Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/2001-A-Space-Odyssey.html,625,tt0062622,376,
1968,The Lion in Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/script/the_lion_in_winter_1968,,,,
1968,Planet of the Apes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/planetofapes67.txt,4791,tt0063442,172,
1968,The Swimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=swimmer,,,,
1969,Midnight Cowboy,,Bathtub,1,Shower,1,,,,,,Jon Voight,,,,,Jon Voight,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Midnight Cowboy Script.html,2901,tt0064665,,
1969,The Wild Bunch,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Wild-Bunch,-The.html",1475,tt0065214,,
1970,Beneath the Planet of the Apes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pota.goatley.com/scripts/pota_beneath_final.pdf,3919,tt0065462,,
1970,Five Easy Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html,916,tt0065724,,
1970,MASH,,,,Shower,1,,,,,,,,Sally Kellerman,,,,,,,,,,,,,,MASH.pdf,6514,tt0066026,458,
1970,The Private Life of Sherlock Holmes,,Bathtub,1,,,,,,,,Robert Stephens,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Private Life of Sherlock Holmes, The Script.html",3140,tt0066249,,
1970,The Rise and Rise of Michael Rimmer,,Bathtub,1,,,,Vanessa Howard,,,,,,,,,,,,,,,,,,,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Rise_and_Rise_of_Michael_Rimmer,_The.pdf",4879,tt0066302,,
1971,THX 1138,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/thx1138.html,5130,tt0066434,,
1971,A Clockwork Orange,C,Bathtub,1,,,,,,,,Malcolm McDowell,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/clockwork_orange.html,4022,tt0066921,,"Singing ""Singin in the Rain."" He sings that during the rape scene too right? "
1971,Duel,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duel (Richard Matheson) (Revision; September 1, 1971).pdf",8164,tt0067023,,
1971,The French Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/French Connection, The Script.html",2328,tt0067116,,
1971,"Happy Birthday, Wanda June",,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Happy-Birthday,-Wanda-June.html",983,tt0067180,,
1971,Harold and Maude,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Harold-and-Maude.htm,4337,tt0067185,,One of Harold's fake suicides. He's bloody in the tub. No water in tub. Clothes on. 
1971,The Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Hospital,-The.html",1017,tt0067217,,
1971,Klute,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/klute.html,2713,tt0067309,,
1971,The Omega Man,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/i_am_legend_6_26_70.html,3038,tt0067525,,
1971,Play Misty for Me,,,,,,,,,,,,,,,,,,,,,,,,,,,Play Misty For Me (Jo Heims & Dean Riesner - Missing Title Page - Undated) [Scan] [Reduced].pdf,6128,tt0067588,,
1971,Two-Lane Blacktop,,,,,,,,,,,,,,,,,,,,,,,,,,,Two Lane Blacktop (1970.01.05) [Scan].pdf,7209,tt0067893,,
1971,Vanishing Point,,,,,,,,,,,,,,,,,,,,,,,,,,,VanishingPoint-GCain 1st draft-June1969.pdf,7450,tt0067927,,
1971,Willard,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/willard.html,5236,tt0067991,101,
1972,Cabaret,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Cabaret.pdf,3980,tt0068327,219,
1972,Conquest of the Planet of the Apes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pota.goatley.com/scripts/pota_conquest_finalshooting.pdf,4038,tt0068408,,
1972,The Day the Clown Cried,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Day-the-Clown-Cried,-The.html",846,tt0068451,,
1972,Deliverance,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/deliverance.pdf,4101,tt0068473,,
1972,The Getaway,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/getaway.html,2387,tt0068638,138,
1972,The Godfather,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.com/script/THEGODFATHER.txt,4277,tt0068646,690,
1972,Jeremiah Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremiah Johnson [Undated] [Scan].pdf,8120,tt0068762,,
1972,The Poseidon Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/Poseidon_Adventure.pdf,4810,tt0069113,477,
1972,Last Tango in Paris,C,Bathtub,1,,,,Maria Schneider,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Last Tango in Paris Script.html,2743,tt0070849,,
1972,Sounder,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/sounder.txt,5003,tt0069303,,
1973,American Graffiti,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,666,tt0069704,565,
1973,Badlands,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Badlands Script.html,1747,tt0069762,,
1973,Enter the Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,Enter The Dragon (1973) [1972-12-7] [Rev. 1972-12-19] [Scan].pdf,8532,tt0070034,,
1973,The Exorcist,C,Bathtub,1,,,,Linda Blair,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/exorcist.html,4184,tt0070047,195,
1973,Live and Let Die,,Bathtub,1,,,,,,,,Roger Moore,,,,,,,,,,,,,,,,Live And Let Die (1972.10.02) [Scan].pdf,6101,tt0070328,174,
1973,The Long Goodbye,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long_Goodbye,_The_(1972).pdf",6511,tt0070334,,
1973,Magnum Force,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnum Force [1973.03.05] [Rev. Final] [Scan].pdf,6155,tt0070355,,
1973,Mean Streets,,Bathtub,1,,,,Unknown actress,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/meanstreet.html,4606,tt0070379,,"At a party, someone pushes a naked girl into a bathtub full of red jello"
1973,Pat Garrett & Billy the Kid,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Garret And Billy The Kid.pdf,7210,tt0070518,,
1973,Serpico,C,Bathtub,1,,,,Cornelia Sharpe,,,,Al Pacino,,,,,,,,,,,Together,,,,,Serpico [1973.06.18].pdf,7454,tt0070666,,
1974,Blazing Saddles,,Bathtub,1,,,,,,,,Harvey Korman,,,,,,,,,,,,,,,,Blazing Saddles - Screenplay.pdf,8301,tt0071230,558,
1974,Dark Star,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Dark Star Script.html,2108,tt0069945,,
1974,Chinatown,,,,Shower,1,,,,,,,,,,,Jack Nicholson,,,,,,,,,,,http://www.awesomefilm.com/script/chinatown.txt,1999,tt0071315,,
1974,The Godfather: Part II,,Bathtub,1,,,,,,,,Michael V. Gazzo,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/godfather2.html,4280,tt0071562,266,He slits his wrists in the bathtub
1974,The Parallax View,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/The_Parallax_View_-_Original_Draft.pdf,4769,tt0071970,,
1974,Young Frankenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/young.txt,5254,tt0072431,401,
1975,Barry Lyndon,C,Bathtub,1,,,,Marisa Berenson,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Barry-Lyndon.html,716,tt0072684,,
1975,Dog Day Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Dog-Day-Afternoon.html,864,tt0072890,,
1975,French Connection II,,,,Shower,1,,,,,,,,,,,Gene Hackman,,,,,,,,,,,French Connection 2 (1975) [1974-6-26] [Scan].pdf,6333,tt0073018,,
1975,Hard Times,,,,,,,,,,,,,,,,,,,,,,,,,,,Hard Times.pdf,8404,tt0073092,21,
